reporter_name,partner_name,year,trade_flow,no-of_imported_HS6_digit_products,import_share_in_total_products_percent,import_us_dollars_thousand,import_partner_share,ahs_simple_average,ahs_weighted_average_percent,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_percent,ahs_duty_free_tariff_lines_share_percent,ahs_specific_tariff_lines_share_percent,ahs_ave_tariff_lines_share_percent,ahs_maxrate_percent,ahs_minrate_percent,ahs_specific_duty_imports_us_dollars_thousand,ahs_dutiable_imports_us_dollars_thousand,ahs_duty_free_imports_us_dollars_thousand,mfn_simple_average_percent,mfn_weighted_average_percent,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_percent,mfn_duty_free_tariff_lines_share_percent,mfn_specific_tariff_lines_share_percent,mfn_ave_tariff_lines_share_percent,mfn_max_rate_percent,mfn_minrate_percent,mfn_specific_duty_imports_us_dollars_thousand,mfn_dutiable_imports_us_dollars_thousand,mfn_duty_free_imports_us_dollars_thousand,no_of_tariff_agreement
 World,Tonga,2017,Import,259,5.37,17343.88,0,4.1,4.3,787,39.14,59.09,0.38,1.4,370,0,176.95,8109.35,6698.06,10.15,12.97,61386,67.93,28.34,41.8,249.17,3000,0,1995.22,14807.41,0,18
 World,Trinidad and Tobago,2017,Import,2745,56.87,9180732.13,0.06,0.56,1.71,18989,5.73,92.35,0.09,1.83,3000,0,49655.15,5206898.5,2837664.13,9.61,4.88,535904,70.28,25.64,13.52,101.62,3000,0,2249260.87,7101331.48,943231.15,33
 World,Tunisia,2017,Import,3247,67.27,13982634.63,0.09,3.26,5.69,44488,36.32,57.16,0.39,6.14,3000,0,824745.84,11401125.12,1255306.4,9.28,9.27,639569,70.56,25.5,6.19,50.43,3000,0,2091683.3,12461177.96,195253.57,43
 World,Turkey,2017,Import,4461,92.42,134994179.3,0.84,5.09,8.2,233253,52.32,44,0.46,3.22,3000,0,26077487.67,130058295.6,3481131.31,9.04,11.32,842757,70.1,26.01,1.52,12.53,3000,0,35513273.72,131918007,1621419.88,29
 World,Tuvalu,2017,Import,186,3.85,4236.42,0,3.21,0.87,628,43.47,56.53,0,0,28,0,0,460.9,2609.73,9.06,7.16,31533,65.59,30.53,12.1,183.12,3000,0,305.34,3067.2,3.43,31
 World,Tanzania,2017,Import,2758,57.14,3630448.3,0.02,2.58,7.2,17089,37.23,61.69,0.2,0.87,1402.16,0,29052.77,1958945.41,1116304.67,9.49,15.56,525707,70.13,25.8,13.97,111.26,3000,0,562103.93,3075154.34,95.73,42
 World,Uganda,2017,Import,2752,57.01,1566132.55,0.01,2.72,20.67,14160,35.16,63.54,0.14,1.16,3000,0,22225.35,850041.72,134384.12,9.46,14.3,514174,69.84,26.08,14.78,133.26,3000,0,72134.01,984411.06,14.78,33
 World,Ukraine,2017,Import,3975,82.35,45271438.79,0.28,2.78,14.95,63676,31.38,66.14,0.2,2.28,3000,0,584899.05,32946982.44,3677903.93,9.21,12.03,755020,70.08,25.92,5.06,42.46,3000,0,5587835.51,36595680.19,29206.17,20
 World,United States Minor Outlying I,2017,Import,1006,20.84,10170.13,0,6.76,2.83,5470,64.44,26.05,1.17,8.34,274.5,0,29.83,4562.41,3663.38,10.14,6.35,217539,68.47,26.73,26.31,164.75,3000,0,846.94,8225.66,0.14,
 World,Unspecified,2017,Import,4574,94.76,104893203.4,0.65,8.77,5.83,70254,72.25,22.46,0.55,4.74,3000,0,865687.76,30840517.21,7596565.26,9.21,7.31,868463,69.91,26.09,5.4,44.06,3000,0,6796408.69,34415108.33,4021974.14,
 World,Uruguay,2017,Import,2933,60.76,9861511.14,0.06,4.18,13.83,29859,40.51,53.68,0.53,5.28,3000,0,525180.09,6461108.43,1621997.11,9.52,17.92,591883,70.08,25.76,8.25,74.17,3000,0,992304.98,8082126.12,979.43,61
 World,United States,2017,Import,4775,98.92,1355522932,8.41,6.6,6.01,401739,55.57,41.36,0.31,2.76,3000,0,185613261.6,1219653639,39599615.71,9.19,7.95,889617,69.84,26.19,0.97,7.82,3000,0,291063961.1,1220631635,38621620.17,19
 World,Uzbekistan,2017,Import,1789,37.06,8539571.98,0.05,1.89,1.59,14118,19.61,74.15,0.5,5.74,754.3,0,121688.17,2621256.25,4384554.04,10.36,6.37,356253,71.02,24.4,13.84,101.83,3000,0,818104.44,6993407.99,12402.31,20
 World,Holy See,2017,Import,251,5.2,5498.12,0,10.06,9.02,965,58.34,38.86,0,2.8,205.88,0,0,3355.26,1481.59,9.23,8.86,60483,68.7,28.37,22.9,160.62,3000,0,561.91,4698.7,138.15,
 World,St. Vincent and the Grenadines,2017,Import,897,18.58,248096.15,0,12.25,11.27,3063,38.26,58.28,0.23,3.23,100,0,1.8,111685.02,132122.16,9.43,5.84,186215,70.34,26.28,20.31,185.57,3000,0,10313.12,243730.03,77.15,30
 World,Venezuela,2017,Import,2281,47.26,30838470.27,0.19,4.91,0.79,18577,48.72,45.76,0.78,4.74,754.3,0,17821288.33,21138419.5,1998547.29,9.63,3.29,488838,70.16,25.79,12.94,93.58,3000,0,19681899.16,21618219.59,1518747.2,56
 World,British Virgin Islands,2017,Import,1687,34.95,446401.12,0,3.18,1.12,9233,22.25,74.71,0.08,2.97,165,0,6.35,411914.3,76031.95,9.43,9.88,342995,70,26.09,20.04,125.15,3000,0,31546.34,448970.29,38975.97,16
 World,Vietnam,2017,Import,4188,86.76,241579566.1,1.5,3.86,6.76,115135,35.45,60.76,0.29,3.5,3000,0,6244052.81,172308549.6,3682634.73,9.16,9.16,803871,70.29,25.81,2.99,24.27,3000,0,19975481.23,175955944.4,35239.97,47
